#oc-R11D9D7SHXIJB9	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R11O5J5ZVQE25C	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R12MGTQS5KZZRV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R14ZSRYW2YB41B	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R155JB2SA58E17	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R162D7S0A880MV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R163CP16SRRI50	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R19EJ3VEA88T6O	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1CF9LIM90SAB6	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GKUU1PTIDIZ7	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GSBW9QIVY489	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1K4OCJ8HEIEDY	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1QHGBT11WAS7G	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1U8FAII0QYOT3	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1UO6NAAGVBW7Z	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1VRD09DW4H2HI	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R26DKYCO954ZWP	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R28I1AL1ZAZLXL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2B86BJE5FNKXX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2HWL8UHAIMFRS	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2K9AJ2LWO7ZUJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2M17G7NB9RAIV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2MG5C3DMRU8Q0	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2R45EEG606NCJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W0C6DARSLJ0S	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W66Y63G88976	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2XZVYL146WRFL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2YPVWM76O2TFX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R31AI08Q9HLVF1	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R34PQ2ORKQ6WCD	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3DERHJ8UWPZZ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3EDGA2893DM4Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3F0UDHOQC1RNU	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3OS88C8I7GSS5	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RMG4F3JAN4CE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RQNMHS7481DE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3SRKE3YQ2BNES	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TXZAQ0JD85LR	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TZTZQ7UHNM8Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RKU1BA6XFA3Q4	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RMBODWNVK1H1D	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RODMQLZAXFCUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RS2VFRNYYRVUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RSZMLJGJRON5W	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RUCLMJ3IUSWPC	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXCJ97CMQTXVA	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXFX0AFFBDSJN	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
A1031HORQ1693I	  {'B007PUYV7G', 'B001GIE4YI', 'B007PUYTLY', 'B004J04DRI', 'B007PUYUG8'}
A1033RWNZWEMR5	  {'B00004CI84', 'B00004CXX9', 'B00004RYGX'}
A103FOM06QPAX8	  {'B005K4Q34S', 'B005K4Q1YA', 'B005K4Q4LK', 'B005K4Q37A'}
A103FPM7ABVMAW	  {'B000FFGIYM', 'B000FFCO6S', 'B0015DXT4K', 'B0014X6H2M', 'B0014X58EA', 'B0014X3E3W', 'B000FFHT68', 'B000CPZSC8'}
A103NIIU3EJZIG	  {'B0081X097M', 'B001E5E060', 'B00401OZ1U'}
A103QH6R6A4FT1	  {'B000W642B0', 'B002RBTV78', 'B001ELL60W'}
A103U3KR4L2ZXT	  {'B005K4Q4KG', 'B001EO7GYY', 'B0076MLL12', 'B005K4Q1T0', 'B005K4Q1VI', 'B007L3NVKU', 'B0032BXUJM', 'B005HUVI0E', 'B0045Z6K50', 'B0045IO37Y', 'B005K4Q68Q'}
A103WAQNPAZ164	  {'B003AZ2ECY', 'B0039ZOZ86', 'B003BJZMSM', 'B003A199AI', 'B0039LVLS2'}
A10443LYX7DN89	  {'B00125ZCWI', 'B000WVY4PE', 'B001E18K8S', 'B003SSWCJI', 'B000OQ2DJQ', 'B000OQ2DL4', 'B0019QT66I', 'B002LN1ME2', 'B000WVYB8Y', 'B001E0TBA0'}
A1045NW0WUEBP8	  {'B00125ZCWI', 'B000WVY4PE', 'B001E18K8S', 'B003SSWCJI', 'B001E0TBA0', 'B002LN1ME2', 'B0019QT66I', 'B000OQ2DL4', 'B000WVYB8Y', 'B000OQ2DJQ'}
A1046G0JGGJHGK	  {'B008FHUKE6', 'B002HQLY7S', 'B000TQEWM2', 'B007TJGZ4A', 'B003N0ZEKU', 'B006N3I1HM', 'B0029XDZKI', 'B007TJGZ0Y', 'B002ZX1U9A'}
A1046ICIMHENBN	  {'B000XEV9YE', 'B001XSMANI', 'B000NMCEJK'}
A1047EDJ84IMAS	  {'B00112ILZM', 'B002UMHF8Q', 'B004VLVCGA', 'B000EQT77M', 'B0001VAFGW', 'B002DZIL24', 'B000EQX6QK'}
A1048CYU0OV4O8	  {'B00004CI84', 'B00004CXX9', 'B00004RYGX'}
A104APKOSDSYM3	  {'B004779XNW', 'B007PA30ZU', 'B001M2BM4I', 'B0032CB15Q', 'B00474CSVE', 'B001EO5Y8Y', 'B0049ULB78'}
A104NBZOSZODEQ	  {'B0065G59F4', 'B008F2K1YU', 'B008VQ01Y0', 'B005FKRTO0', 'B009K2BBT8', 'B0051SU0OW', 'B005F3IAPE', 'B00859FH7O', 'B0069GOKGE', 'B009K2BBQG'}
A104U7RKT1PENC	  {'B003K3UVK8', 'B002MO765O', 'B003HV3VYQ', 'B004I5TJIC'}
A104Y49ZQ4CYJ2	  {'B0064KO222', 'B0064KO0BU', 'B0064KO16O'}
A1051DBTLWP5A2	  {'B000CQ01NS', 'B002AQP5IE', 'B001EQ4E60', 'B001NXHY8Y', 'B000FPM22O', 'B0030VBQOK', 'B002OK6E6I', 'B001EQ4PTQ', 'B001GVIRKM', 'B001NXM3I0', 'B001NXM3GM', 'B0030VBRCG', 'B000MXEN9O', 'B000MXHQTS', 'B0030VJ818', 'B0030VJ8PE', 'B0030VJ8E0', 'B001HTGAQQ', 'B002AUF0Q2', 'B002AQL00G', 'B000MXJR68', 'B001189I3A', 'B000J423MK'}
A1052U8XMXHQ1I	  {'B002DZI3HW', 'B000LJDQ8I', 'B000ES00B2'}
A1052V04GOA7RV	  {'B002GJ9JY6', 'B002GJ9JWS', 'B008ZRKZSM'}
A1057PTJ38ZCW1	  {'B000GZYAN2', 'B000FDLB6Y', 'B0007R9L4M', 'B000FDLB8M'}
A10592QFWUWVV9	  {'B000J23YP2', 'B000BTDL88', 'B000SSRRLY', 'B000F8U03E'}
A10594N1GXIB6J	  {'B000HD3YDU', 'B000HDEHSQ', 'B000HDHZ4E'}
A105HYDWA3RPHM	  {'B0006ZN4XE', 'B00016LZT8', 'B004K0862K'}
A105OL9CUKE3MR	  {'B009E7YC54', 'B008BY7NSE', 'B004P4POZ8'}
A105S56ODHGJEK	  {'B001OCKIBY', 'B0041CIP3M', 'B007RTR8T8', 'B007RTR9G0', 'B0014WYY1E', 'B007RTR8A2', 'B004R8J8EK', 'B004R8J8E0'}
A105TOJ6LTVMBG	  {'B001E8DHPW', 'B004EAGP74', 'B000GAT6NG'}
A105Y40R0K3ZIZ	  {'B0029ZAOW8', 'B003QNLUTI', 'B001AS1A4Q', 'B003QNJYXM'}
A10617JO68KVFC	  {'B001LNTY70', 'B001EQ4QJK', 'B004HOLD4W', 'B004HOSGWE', 'B001KVPBS4', 'B004HOOZEW', 'B004HOQE64', 'B000ZSZ5S4', 'B004HOLD60', 'B004HOLD92', 'B001EQ4RBM', 'B001EQ4P2I'}
A106Q1A6LGU4DP	  {'B004867T24', 'B006Q7YG24', 'B0041CIP3M', 'B006Q7YG56', 'B00823T1K2', 'B004NSH6O8', 'B004NSKWMQ', 'B006Q7YG2O', 'B006Q7YFLQ', 'B002LANN56'}
A106T2I1NKYNDU	  {'B000ESLJ6C', 'B001EO5U3I', 'B008J1HO4C'}
A106ZCP7RSXMRU	  {'B000EQYQBO', 'B001BM4NAE', 'B000FDBQHS', 'B000EQT4MA', 'B000LKX1SW', 'B001BLXRPC', 'B001ONPN40', 'B001G0NL2W', 'B000LKX01K', 'B001KUSKHY', 'B000FBL8FU', 'B000EA0F5G', 'B000EQT9MK', 'B000IEC66E', 'B000ELWDQY', 'B0014GNSBM', 'B000LKYVJU', 'B000LKZ3OM', 'B000EQX5SE', 'B000EQX57K', 'B000TV8NR2', 'B000KFU6RW', 'B000E5ILGQ', 'B000G7X0OK', 'B001KUWENU', 'B000LKV3DC', 'B001BM4RC8', 'B001E6IULK', 'B000F0JORA', 'B001BM01BE', 'B003CGOWVC', 'B000EQVAFY', 'B000LKX1OG', 'B001BM3C4M', 'B000EQT574', 'B001BM3C0Q', 'B000F0FVJU', 'B001KUWEOO', 'B0032B0BD0', 'B000EQYW0E', 'B000F0JORU'}
A1072Q1O6YB3NY	  {'B0018CIP10', 'B001BOXBAA', 'B000VTQB6W', 'B0013QRY22', 'B000VTRI32', 'B0032BKKHM', 'B000VTTAMY'}
A1076UA29SK59D	  {'B003ZXJHQC', 'B000GZW8NG', 'B003TRL87U', 'B003E6GX8U', 'B004N5HK38', 'B0001R05KC', 'B002AUBJFI', 'B005A1KXKG'}
A107DGKDPQEFCG	  {'B001NNAUC6', 'B001L1197A', 'B003UHYN0I'}
A107PO362YIINS	  {'B0012KIBP8', 'B001E5E1W8', 'B0012KB4U2'}
A107SVKYGPGBPP	  {'B003X0PU9U', 'B0089SPDUW', 'B00474VPY0', 'B007OXJKCK', 'B003X0TQQS', 'B003X0TRGW'}
A107YB3IOEOYVX	  {'B000FIZW00', 'B000N33SIU', 'B0009PAIKI'}
A1080SE9X3ECK0	  {'B000PNM0ZA', 'B0000GIOU2', 'B000MIDRNW', 'B000FL5482', 'B000V7SUPY', 'B001E5DXDQ', 'B000EY38OC', 'B001E52YO0', 'B0015QWS80', 'B001E6J0BO', 'B003EML8PM', 'B0029NTDEK', 'B001ELL706', 'B000V1PBNE', 'B001EPQ14E', 'B001EQ5EAK', 'B001EO65FU', 'B001EO7NOW', 'B00181UZFU', 'B001EPQXCE', 'B000E1FXTI', 'B000FDMLUO', 'B001EO60EQ', 'B001ELLB5M', 'B000PMJLJO', 'B000I6MDO2', 'B000GW6786', 'B000FIXYD2', 'B0014EUA74', 'B0040PX5T4', 'B001E5DY2G', 'B001ELL9VI', 'B000OU5EFW', 'B000GAQE4A', 'B000096OIV', 'B002CZR8SI', 'B003E68MFM', 'B000Y2G2W4', 'B0015PJ83Y', 'B000SARHDK', 'B001EO66MC', 'B000MIAORE', 'B000GW46DE', 'B0009AFWYU', 'B000E1DSIG', 'B0013E7C0S', 'B00099XNHE', 'B000PMHLZK', 'B003EM7J9Q', 'B001E5DXD6', 'B000GW46D4', 'B000PMC7GI', 'B000FBQ5HQ', 'B001AWBL5U', 'B001EPQCJ8', 'B001RJ7D26', 'B001EPQS3I', 'B000FL3KDI', 'B000YPMK04', 'B0000GJNYI', 'B001ELL4PY', 'B000YUOWVO', 'B001ELL4K4', 'B000V6FU08', 'B001EPQ0EU', 'B000DZH19K', 'B000PDFS8Q'}
A1088B4626FDGV	  {'B0002DI2T6', 'B0017OLLGK', 'B0002H3UFI', 'B002DZI7UA', 'B002DZMD6E'}
A1088P38KHFI9B	  {'B005ZBZLSU', 'B005ZBZLT4', 'B007Y59HVM', 'B007TGDXNO'}
A108AL4ECMBV9X	  {'B007M832YY', 'B000VA5LZI', 'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B0026KNQSA', 'B0026KPDG8'}
A108BPYWK3GZWC	  {'B0039556K2', 'B008GRIB0A', 'B00395DVQS', 'B0078Y6OX8', 'B00817GPWQ', 'B0078Y6CN0', 'B00395570G'}
A108HCW5DYBX88	  {'B0002M7WG6', 'B0002ARQYQ', 'B00443W2W8', 'B003A23HZK'}
A108NDB3YTO0L2	  {'B006N3I0N2', 'B007TJGY5K', 'B001D0GVAO'}
A108QRHOAW6PYQ	  {'B002BCFI70', 'B000KFVAF4', 'B000KFXEWQ', 'B002BCFHTY', 'B000KFXEYE'}
A108XP24UESKSV	  {'B001OCKIBY', 'B007I7Z3Z0', 'B004YV80O4', 'B007I7YZJK', 'B004T3QMD8', 'B0014WYY1E', 'B004FEN3GK', 'B005A1LGIY', 'B001LGGH54'}
A108XVMAJD1WYC	  {'B0007A0AQW', 'B000H0ZJIG', 'B0007A0AQM', 'B000BRR8VQ', 'B000H1217M', 'B000H0ZJHW'}
A108YZOR3HDEUI	  {'B008FHUGNQ', 'B006N3HZ6K', 'B007TJGY46', 'B0029XLH4Y', 'B0029XDZDK'}
A1091UQ9DHXWCL	  {'B003E728CE', 'B001BS4G6O', 'B008GRONV6', 'B000QSON4K'}
A1099W99IQ2XJW	  {'B001QTP9SC', 'B001E6IUG0', 'B004XXXK6Q', 'B0014ET21Y', 'B0014EOU4S'}
A109EGA5Q5VN4L	  {'B000CQC0B4', 'B000CQG8M6', 'B000CQID7E', 'B000CQBZQK', 'B000CQG8B2', 'B000CQIDJM'}
A109L3WXD1SJFU	  {'B0061IUIDY', 'B000EMM9WG', 'B005FUOROA', 'B008BLFCK8', 'B001EO5U60', 'B000FL08B0', 'B000NIP11M', 'B005SPQENY'}
A109P5HL1KF2P8	  {'B000CORSCW', 'B003DMXDGA', 'B000CONM86'}
A109VW0OXUQX45	  {'B002AY5BHG', 'B002AYIJDO', 'B002AYC7TG', 'B0047E2I5U', 'B002AYAMIE', 'B002AYA6M6'}
A10A2FBKZM9IDY	  {'B000EBMW9M', 'B001M19IJK', 'B000EBKS9S', 'B001M074NI'}
A10ACPC0I87JZQ	  {'B001VS62GQ', 'B002LVA88U', 'B0015D22C0', 'B000IKDIME'}
A10ADXZVOBFM8O	  {'B001BS4G6O', 'B000QSON4K', 'B003E728CE', 'B008GRONV6', 'B002AQKYEE'}
A10AFVU66A79Y1	  {'B00248EE4O', 'B001AHL6CI', 'B0054TWQMM', 'B001EO5U3I', 'B000FBM4FI', 'B001CCXVPQ', 'B002DHMUEW', 'B001AHFVHO', 'B000H7LVKY', 'B000Q611U6', 'B001AHJ2FQ', 'B000YSRK7E', 'B000YSTIL0', 'B0015MY6PC', 'B002ULC3PC', 'B001E5E20O', 'B004JGQ16I', 'B001AHJ2D8', 'B000Q5X8DK', 'B0012XCO76', 'B008J1HO4C', 'B000Q5X876'}
A10AGFN93JCNHQ	  {'B000EHP62G', 'B0007LXU9A', 'B0026MIT4O', 'B0007LXU8G', 'B000EHIVIW'}
A10ASLX7DTTB6Z	  {'B002IEVJRY', 'B004NSKWMQ', 'B006MONQMC'}
A10B0RPG0JI7AF	  {'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A10B25RO92V1X	  {'B006683JYY', 'B004J402A6', 'B000JFH89W'}
A10B49ZO696DLO	  {'B000EQYQBO', 'B001BM01BE', 'B001BM4NAE', 'B000EQVAFY', 'B000EQT9MK', 'B001BM3C4M', 'B001BM4RC8', 'B000EQT4MA', 'B000EQT574', 'B0032B0BD0', 'B001BM3C0Q', 'B001BLXRPC', 'B000EQX57K', 'B000EQYW0E'}
